,y_true_label,y_pred_label,Freq
2,AMERICAN SNOOT,MILBERTS TORTOISESHELL,1
32,COPPER TAIL,CABBAGE WHITE,1
34,COPPER TAIL,GREY HAIRSTREAK,1
60,INDRA SWALLOW,ORCHARD SWALLOW,1
36,COPPER TAIL,STRAITED QUEEN,1
59,INDRA SWALLOW,ADONIS,1
58,GREEN CELLED CATTLEHEART,SOUTHERN DOGFACE,1
57,GREAT JAY,POPINJAY,1
1,AFRICAN GIANT SWALLOWTAIL,MESTRA,1
55,GREAT JAY,GREEN CELLED CATTLEHEART,1
54,GREAT JAY,CRIMSON PATCH,1
53,GREAT EGGFLY,MANGROVE SKIPPER,1
52,GREAT EGGFLY,GOLD BANDED,1
51,GREAT EGGFLY,DANAID EGGFLY,1
50,GREAT EGGFLY,BLUE SPOTTED CROW,1
49,GOLD BANDED,MANGROVE SKIPPER,1
48,ELBOWED PIERROT,DANAID EGGFLY,1
47,EASTERN PINE ELFIN,TROPICAL LEAFWING,1
46,EASTERN PINE ELFIN,QUESTION MARK,1
45,EASTERN PINE ELFIN,EASTERN COMA,1
44,EASTERN PINE ELFIN,COMMON WOOD-NYMPH,1
43,EASTERN DAPPLE WHITE,LARGE MARBLE,1
41,EASTERN COMA,TROPICAL LEAFWING,1
39,DANAID EGGFLY,GREAT EGGFLY,1
38,CRECENT,ORANGE OAKLEAF,1
37,CRECENT,AFRICAN GIANT SWALLOWTAIL,1
111,YELLOW SWALLOW TAIL,PIPEVINE SWALLOW,1
